ID,Object_Name,Keyword,Tooltip,Value,Result
108,:KoolProg.www.danfoss.com_Label,Enable,,true,True
110,,Snooze,,,True
111,,File_Generation,,,True
113,:_MenuItem,Enable,,true,True
114,:KoolProg.BROWSE_Button,Enable,,true,True
115,{container=':KoolProg_Window' name='btnConnectedDeviceInfo' text='i' type='Button'},Enable,,true,True
116,:KoolProg.Single controller programming_RadioButton,Enable,,true,True
117,:KoolProg.Multiple controller programming_RadioButton,Enable,,true,True
119,:KoolProg.SET AS FAVOURITE_Button,Enable,,true,True
120,:KoolProg.SET AS FAVOURITE_Button,Text,,SET AS FAVOURITE,True
122,{container=':KoolProg_Window' name='imgProductleft' type='Image'},Enable,,true,True
123,{container=':KoolProg_Window' name='imgProductleft' type='Image'},Type,,Image,True
124,{container=':KoolProg_Window' name='btnInfo' text='i' type='Button'},Tooltip,Info,,True
125,{container=':KoolProg_Window' name='btnInfo' text='i' type='Button'},Text,,i,True
127,,Snooze,,,True
128,{container=':KoolProg_Window' name='btnInfo' text='i' type='Button'},Click_Button,,,True
129,:Product information_Window,Enable,,true,True
130,:Product information_Window,Type,,Window,True
131,:_MenuItem,Enable_Popup,,false,True
132,:KoolProg.BROWSE_Button,Enable_Popup,,false,True
133,:KoolProg.SET AS FAVOURITE_Button,Enable_Popup,,false,True
134,{container=':KoolProg_Window' name='imgProductleft' type='Image'},Enable_S,,false,True
135,{container=':KoolProg_Window' name='btnConnectedDeviceInfo' text='i' type='Button'},Enable_Popup,,false,True
136,:KoolProg.Single controller programming_RadioButton,Enable_Popup,,false,True
137,:KoolProg.Multiple controller programming_RadioButton,Enable_Popup,,false,True
138,:KoolProg.START_Label,Enable_Popup,,false,True
139,:Product information.Product information_Label,Enable,,true,True
140,:Product information.Product information_Label,Text,,Product information,True
141,:Product information.X_Button,Enable,,true,True
142,:Product information.X_Button,Tooltip,Close,,True
143,:Product information.X_Button,Text,,X,True
144,{container=':Product information_Window' name='imgProductimage' type='Image'},Enable,,true,True
145,{container=':Product information_Window' name='imgProductimage' type='Image'},Type,,Image,True
147,:Product information.X_Button,Click_Button,,,True
148,{container=':KoolProg_Window' name='imgProductleft' type='Image'},Enable,,true,True
149,:KoolProg.START_Label,Enable,,true,True
151,:KoolProg.Product Name:_Label,Enable,,true,True
152,:KoolProg.Product Name:_Label,Text,,Product Name:,True
153,:KoolProg.Code Number : _Label,Text,,Code Number:,True
155,:KoolProg.SET AS FAVOURITE_Button,Enable,,true,True
156,:KoolProg.SET AS FAVOURITE_Button,Text,,SET AS FAVOURITE,True
157,:KoolProg.SET AS FAVOURITE_Button,Click_Button,,,True
158,:KoolProg.FAVOURITE FILES_Label,Enable,,true,True
159,:KoolProg.FAVOURITE FILES_Label,Text,,FAVOURITE FILES,True
161,{container=':KoolProg_Window' name='dgFavoriteFiles' type='Table'},Enable,,true,True
162,{container=':KoolProg_Window' name='dgFavoriteFiles' type='Table'},Visible_S,,true,True
163,:Project name_HeaderItem,Enable,,true,True
164,:Project path_HeaderItem,Text,,Project path,True
165,:Controller type_HeaderItem,Enable,,true,True
166,:Controller type_HeaderItem,Text,,Controller type,True
167,:Actions_HeaderItem,Text,,Actions,True
169,:0_2_TableCell,Enable,,true,True
171,{container=':0_3_TableCell' text='System.Windows.Controls.Image' type='Button'},Click_Button,,,True
172,:0_3_TableCell,Enable,,true,True
174,:_Edit,Enable,,true,True
176,{container=':KoolProg_Window' name='imgProductleft' type='Image'},Enable,,true,True
177,{container=':KoolProg_Window' name='imgProductleft' type='Image'},Type,,Image,True
178,{container=':KoolProg_Window' name='btnInfo' text='i' type='Button'},Enable,,true,True
179,{container=':KoolProg_Window' name='btnInfo' text='i' type='Button'},Tooltip,Info,,True
180,{container=':KoolProg_Window' name='btnInfo' text='i' type='Button'},Text,,i,True
182,{container=':KoolProg_Window' name='btnInfo' text='i' type='Button'},Click_Button,,,True
183,:Product information_Window,Enable,,true,True
184,:Product information_Window,Type,,Window,True
185,:_MenuItem,Enable_Popup,,false,True
186,:KoolProg.SET AS FAVOURITE_Button,Enable_Popup,,false,True
187,{container=':KoolProg_Window' name='btnConnectedDeviceInfo' text='i' type='Button'},Enable_Popup,,false,True
188,:KoolProg.Single controller programming_RadioButton,Enable_Popup,,false,True
189,:KoolProg.Multiple controller programming_RadioButton,Enable_Popup,,false,True
190,:KoolProg.START_Label,Enable_Popup,,false,True
191,:Product information.Product information_Label,Enable,,true,True
192,:Product information.Product information_Label,Text,,Product information,True
193,:Product information.X_Button,Enable,,true,True
194,:Product information.X_Button,Tooltip,Close,,True
195,:Product information.X_Button,Text,,X,True
196,{container=':Product information_Window' name='imgProductimage' type='Image'},Enable,,true,True
198,:Product information.X_Button,Click_Button,,,True
200,{container=':KoolProg_Window' name='btnHome' text='System.Windows.Controls.Image' type='Button'},Enable,,true,True
201,:_MenuItem,Enable,,true,True
202,:KoolProg.BROWSE_Button,Enable,,true,True
203,:KoolProg.SET AS FAVOURITE_Button,Enable,,true,True
204,{container=':KoolProg_Window' name='imgProductleft' type='Image'},Enable,,true,True
205,{container=':KoolProg_Window' name='btnConnectedDeviceInfo' text='i' type='Button'},Enable,,true,True
206,:KoolProg.Single controller programming_RadioButton,Enable,,true,True
