ID,Object_Name,Keyword,Tooltip,Value,Result
97,:Settings.Preferences_Label,Text,,Preferences,True
98,:Settings.X_Button,Enable,,true,True
99,:Settings.X_Button,Tooltip,Close,,True
100,:Settings.Language:_Label,Enable,,true,True
101,:Settings.Language:_Label,Text,,Language:,True
102,:Settings.Language:_ComboBox,Enable,,true,True
103,:Settings.Language:_ComboBox,Text_Checking,,English (United States),True
104,:Settings.Save Files on:_Label,Enable,,true,True
105,:Settings.Save Files on:_Label,Text,,Save Files on:,True
106,:Settings.Save Files on:_Edit,Enable,,true,True
107,:Settings.Save Files on:_Edit,Tooltip,C:\KoolProg\Configurations,,True
108,:Settings.Save Files on:_Edit,Text,,C:\KoolProg\Configurations,True
109,:Settings.Browse.._Button,Enable,,true,True
110,:Settings.Browse.._Button,Text,,Browse..,True
111,:Settings.Unit:_Label,Enable,,true,True
112,:Settings.Unit:_Label,Text,,Unit:,True
113,:Settings.Unit:_ComboBox,Enable,,true,True
114,:Settings.Unit:_ComboBox,Text_Checking,,Metric,True
115,:Settings.CAN Baudrate:_Label,Enable,,true,True
116,:Settings.CAN Baudrate:_Label,Text,,CAN Baudrate:,True
117,:Settings.CAN Baudrate:_ComboBox,Enable,,true,True
118,:Settings.CAN Baudrate:_ComboBox,Text_Checking,,Auto,True
119,:Settings.Use password protection_CheckBox,Enable,,true,True
120,:Settings.Use password protection_CheckBox,Text,,Use password protection,True
121,:Settings.Use password protection_CheckBox,Checked,,false,True
122,:Settings.Save_Button,Enable,,true,True
123,:Settings.Save_Button,Text,,Save,True
124,:Settings.Cancel_Button,Enable,,true,True
125,:Settings.Cancel_Button,Text,,Cancel,True
126,:Settings.Cancel_Button,Click_Button,,,True
128,:KoolProg_Window,Enable,,true,True
129,:KoolProg_Window,Type,,Window,True
130,{container=':KoolProg_Window' type='Image'},Enable,,true,True
131,:KoolProg.KoolProg®_Label,Enable,,true,True
132,:KoolProg.KoolProg®_Label,Text,,KoolProg®,True
133,:_MenuItem,Enable,,true,True
134,{container=':KoolProg_Window' name='btnSettings' text='System.Windows.Controls.Image' type='Button'},Enable,,true,True
135,:KoolProg.User_Label,Enable,,true,True
136,:KoolProg.User_Label,Text,,User,True
137,:_MenuItem,Tooltip,Help,,True
138,{container=':KoolProg_Window' name='btnSettings' text='System.Windows.Controls.Image' type='Button'},Tooltip,Preferences,,True
139,{container=':KoolProg_Window' name='imgSetParams' type='Image'},Enable,,true,True
140,{container=':KoolProg_Window' name='imgCopycontroller' type='Image'},Enable,,true,True
141,{container=':KoolProg_Window' name='imgServicetest' type='Image'},Enable,,true,True
142,{container=':KoolProg_Window' name='btnSetparameters'  text='System.Windows.Controls.DockPanel' type='Button'},Tooltip,Create and work on configuration files offline,,True
143,{container=':KoolProg_Window' name='btnCopytocontroller' text='System.Windows.Controls.DockPanel' type='Button'},Tooltip,Program controllers with saved configurations on your PC/Laptop,,True
144,{container=':KoolProg_Window' name='btnServiceTest' text='System.Windows.Controls.DockPanel' type='Button'},Tooltip,"Trend, monitor and analyze controller behaviour",,True
145,:KoolProg.Set parameters_Label,Text,,Set parameters,True
146,:KoolProg.Copy to controller_Label,Text,,Copy to controller,True
147,:KoolProg.Service and test_Label,Text,,Service and test,True
148,:KoolProg.www.danfoss.com_Label,Enable,,true,True
149,:KoolProg.www.danfoss.com_Label,Text,,www.danfoss.com,True
151,{container=':KoolProg_Window' name='btnSettings' text='System.Windows.Controls.Image' type='Button'},Click_Button,,,True
152,:Settings_Window,Enable,,true,True
153,:Settings_Window,Type,,Window,True
154,:_MenuItem,Enable_Popup,,false,True
155,{container=':KoolProg_Window' name='btnSettings' text='System.Windows.Controls.Image' type='Button'},Enable_S,,true,True
156,{container=':KoolProg_Window' name='imgSetParams' type='Image'},Enable_Popup,,false,True
157,{container=':KoolProg_Window' name='imgCopycontroller' type='Image'},Enable_Popup,,false,True
158,{container=':KoolProg_Window' name='imgServicetest' type='Image'},Enable_Popup,,false,True
159,:Settings.Preferences_Label,Enable,,true,True
160,:Settings.Preferences_Label,Text,,Preferences,True
161,:Settings.X_Button,Enable,,true,True
162,:Settings.X_Button,Tooltip,Close,,True
163,:Settings.X_Button,Text,,X,True
164,:Settings.Language:_Label,Enable,,true,True
165,:Settings.Language:_Label,Text,,Language:,True
166,:Settings.Language:_ComboBox,Enable,,true,True
167,:Settings.Language:_ComboBox,Text_Checking,,English (United States),True
168,:Settings.Save Files on:_Label,Enable,,true,True
169,:Settings.Save Files on:_Label,Text,,Save Files on:,True
170,:Settings.Save Files on:_Edit,Enable,,true,True
171,:Settings.Save Files on:_Edit,Tooltip,C:\KoolProg\Configurations,,True
172,:Settings.Save Files on:_Edit,Text,,C:\KoolProg\Configurations,True
173,:Settings.Browse.._Button,Enable,,true,True
174,:Settings.Browse.._Button,Text,,Browse..,True
175,:Settings.Unit:_Label,Enable,,true,True
176,:Settings.Unit:_Label,Text,,Unit:,True
177,:Settings.Unit:_ComboBox,Enable,,true,True
178,:Settings.Unit:_ComboBox,Text_Checking,,Metric,True
179,:Settings.CAN Baudrate:_Label,Enable,,true,True
180,:Settings.CAN Baudrate:_Label,Text,,CAN Baudrate:,True
181,:Settings.CAN Baudrate:_ComboBox,Enable,,true,True
182,:Settings.CAN Baudrate:_ComboBox,Text_Checking,,Auto,True
183,:Settings.Use password protection_CheckBox,Enable,,true,True
184,:Settings.Use password protection_CheckBox,Text,,Use password protection,True
185,:Settings.Use password protection_CheckBox,Checked,,false,True
186,:Settings.Save_Button,Enable,,true,True
187,:Settings.Save_Button,Text,,Save,True
188,:Settings.Cancel_Button,Enable,,true,True
189,:Settings.Cancel_Button,Text,,Cancel,True
190,:Settings.Save_Button,Click_Button,,,True
191,:MessageBoxDisplay_Window,Enable,,true,True
192,:MessageBoxDisplay_Window,Window,,Window,True
193,:_MenuItem,Enable_Popup,,false,True
194,{container=':KoolProg_Window' name='btnSettings' text='System.Windows.Controls.Image' type='Button'},Enable_S,,true,True
195,{container=':KoolProg_Window' name='imgSetParams' type='Image'},Enable_Popup,,false,True
196,{container=':KoolProg_Window' name='imgCopycontroller' type='Image'},Enable_Popup,,false,True
197,{container=':KoolProg_Window' name='imgServicetest' type='Image'},Enable_Popup,,false,True
198,:Settings.X_Button,Enable_Popup,,false,True
199,:Settings.Browse.._Button,Enable_Popup,,false,True
200,:Settings.Cancel_Button,Enable_Popup,,false,True
201,:Settings.Save_Button,Enable_S,,true,True
202,:MessageBoxDisplay.X_Button,Enable,,true,True
203,:MessageBoxDisplay.X_Button,Tooltip,Close,,True
204,:MessageBoxDisplay.X_Button,Text,,X,True
205,:MessageBoxDisplay.Saved Successfully_Label,Enable,,true,True
206,:MessageBoxDisplay.Saved Successfully_Label,Text,,Saved Successfully,True
207,:MessageBoxDisplay.OK_Button,Enable,,true,True
208,:MessageBoxDisplay.OK_Button,Text,,OK,True
209,:MessageBoxDisplay.X_Button,Click_Button,,,True
211,:KoolProg_Window,Enable,,true,True
212,:KoolProg_Window,Type,,Window,True
213,{container=':KoolProg_Window' type='Image'},Enable,,true,True
214,:KoolProg.KoolProg®_Label,Enable,,true,True
215,:KoolProg.KoolProg®_Label,Text,,KoolProg®,True
216,:_MenuItem,Enable,,true,True
