ID,Object_Name,Keyword,Tooltip,Value,Result
81,{container=':KoolProg_Window' name='btnHome' text='System.Windows.Controls.Image' type='Button'},Enable,,TRUE,TRUE
,,,,,
82,{container=':KoolProg_Window' name='btnHome' text='System.Windows.Controls.Image' type='Button'},Tooltip,Home,,TRUE
,,,,,
83,{container=':KoolProg_Window' name='btnOpen' text='System.Windows.Controls.Image' type='Button'},Enable,,TRUE,TRUE
,,,,,
84,{container=':KoolProg_Window' name='btnOpen' text='System.Windows.Controls.Image' type='Button'},Tooltip,Open,,TRUE
,,,,,
85,{container=':KoolProg_Window' name='btnSave' text='System.Windows.Controls.Image' type='Button'},Enable,,FALSE,TRUE
,,,,,
86,{container=':KoolProg_Window' name='btnSave' text='System.Windows.Controls.Image' type='Button'},Tooltip,Save,,TRUE
,,,,,
87,{container=':KoolProg_Window' name='btnSaveAs' text='System.Windows.Controls.Image' type='Button'},Enable,,TRUE,TRUE
,,,,,
88,{container=':KoolProg_Window' name='btnSaveAs' text='System.Windows.Controls.Image' type='Button'},Tooltip,SaveAs,,TRUE
,,,,,
89,{container=':KoolProg_Window' name='btnDownload' text='System.Windows.Controls.Image' type='Button'},Enable,,TRUE,TRUE
,,,,,
90,{container=':KoolProg_Window' name='btnDownload' text='System.Windows.Controls.Image' type='Button'},Tooltip,Export parameter values into connected controller,,TRUE
,,,,,
91,{container=':KoolProg_Window' name='btnUpload' text='System.Windows.Controls.Image' type='Button'},Enable,,TRUE,TRUE
,,,,,
92,{container=':KoolProg_Window' name='btnUpload' text='System.Windows.Controls.Image' type='Button'},Tooltip,Import parameter values from connected controller to KoolProg (PC),,TRUE
,,,,,
93,{container=':KoolProg_Window' name='btnPrinter' text='System.Windows.Controls.Image' type='Button'},Enable,,TRUE,TRUE
,,,,,
94,{container=':KoolProg_Window' name='btnPrinter' text='System.Windows.Controls.Image' type='Button'},Tooltip,Print,,TRUE
,,,,,
95,:_MenuItem,Enable,,TRUE,TRUE
,,,,,
96,:_MenuItem,Text,Help,,TRUE
,,,,,
97,:KoolProg.User_Label,Enable,,TRUE,TRUE
,,,,,
98,:KoolProg.User_Label,Text,,User,TRUE
,,,,,
99,:KoolProg.SET PARAMETERS_Label,Enable,,TRUE,TRUE
,,,,,
100,:KoolProg.SET PARAMETERS_Label,Text,,SET PARAMETERS,TRUE
,,,,,
103,{container=':KoolProg_Window' name='btnexpandinfo' text='System.Windows.Controls.Image' type='Button'},Enable,,TRUE,TRUE
,,,,,
104,{container=':KoolProg_Window' name='btnexpandinfo' text='System.Windows.Controls.Image' type='Button'},Tooltip,Expand/Collapse,,TRUE
,,,,,
105,{container=':KoolProg_Window' name='btnexpandParamHelp' text='System.Windows.Controls.Image' type='Button'},Enable,,TRUE,TRUE
,,,,,
106,{container=':KoolProg_Window' name='btnexpandParamHelp' text='System.Windows.Controls.Image' type='Button'},Tooltip,Expand/Collapse,,TRUE
,,,,,
107,{container=':KoolProg_Window' name='btnFactoryReset' text='System.Windows.Controls.Image' type='Button'},Enable,,TRUE,TRUE
,,,,,
108,{container=':KoolProg_Window' name='btnFactoryReset' text='System.Windows.Controls.Image' type='Button'},Tooltip,Factory reset,,TRUE
,,,,,
109,{container=':KoolProg_Window' name='btnSearchParameters' text='System.Windows.Controls.Image' type='Button'},Enable,,TRUE,TRUE
,,,,,
111,:KoolProg.View more_Label,Enable,,TRUE,TRUE
,,,,,
112,:KoolProg.View more_Label,Text,,View more,TRUE
,,,,,
115,:KoolProg.www.danfoss.com_Label,Enable,,TRUE,TRUE
,,,,,
116,:KoolProg.www.danfoss.com_Label,Text,,www.danfoss.com,TRUE
,,,,,
118,,DataGrid_Verification_Online,,,TRUE
