DB_Parameter_Name,KP_Parameter_Name,Result_Parameter_Name,DB_Menu_Code,KP_Menu_Code,Result_Menu_Code,DB_Default_Value,KP_Default_Value,Result_Default_Value,DB_Unit,KP_Unit,Result_Unit,KP_Text_Old_Value,,,
Fan Delay After Defrost,Fan Delay After Defrost,True,Fdd,Fdd,True,0,0,True,Secs,Secs,True,282
Fan Start Temperature after defrost,Fan Start Temperature after defrost,True,Ftd,Ftd,True,25,25.00,True,°C,°C,True,16.73
Fan ON during Defrost,Fan ON during Defrost,True,dFa,dFa,True,No,No,True,,,True,Yes
Initial Defrost Interval,Initial Defrost Interval,True,idi,idi,True,180,180,True,Mins,Mins,True,885
Initial defrost duration,Initial defrost duration,True,idd,idd,True,100,100,True,Cycles,Cycles,True,670
S3 Config,S3 Config,True,S3c,S3c,True,nc,nc,True,,,True,ESP
Relay 3 Config,Relay 3 Config,True,o3C,o3C,True,FAn,FAn,True,,,True,Scc
Second Compressor start delay,Second Compressor start delay,True,Scd,Scd,True,15,15,True,Secs,Secs,True,558
Leakage Alarm Compressor Run Time,Leakage Alarm Compressor Run Time,True,LEA,LEA,True,0,0,True,Hrs,Hrs,True,65
Minimum defrost time,Minimum defrost time,True,dit,dit,True,5,5,True,Mins,Mins,True,45
Cabinet Light Control (Normal mode),Cabinet Light Control (Normal mode),True,CLC,CLC,True,on,on,True,,,True,oFF
Cabinet light control (ECO mode),Cabinet light control (ECO mode),True,ELC,ELC,True,oFF,oFF,True,,,True,dor
Light OFF delay,Light OFF delay,True,Lod,Lod,True,0,0,True,Secs,Secs,True,200
Holiday Mode ,Holiday Mode ,True,HLY,HLY,True,No,No,True,,,True,No
Holiday Length,Holiday Length,True,HoL,HoL,True,72,72,True,Hrs,Hrs,True,373
Holiday Temperature offset,Holiday Temperature offset,True,Hto,Hto,True,8,8.00,True,K,K,True,-7.49
Automatic Heater Control Mode ,Automatic Heater Control Mode ,True,AuH,AuH,True,No,No,True,,,True,No
Heater low set point,Heater low set point,True,CHI,CHI,True,-100,-100.00,True,°C,°C,True,14.59
Heater high set point,Heater high set point,True,WHI,WHI,True,-100,-100.00,True,°C,°C,True,-65.11
Heater low differential,Heater low differential,True,CDH,CDH,True,2,2.00,True,K,K,True,34.01
Heater High differential,Heater High differential,True,CDH,CDH,True,2,2.00,True,K,K,True,21.92
Energy mode delay,Energy mode delay,True,End,End,True,60,60,True,Mins,Mins,True,286
